title,genre_id,age_release,description,image_url
Les Misérables,"36,18",2012,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France. Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.",/6CuzBs2Lb8At7qQr64mLXg2RYRb.jpg
Spy,"28,35,80",2015,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",/6On9Ed52fz8W1h9PzaDQ12ZfHdn.jpg
The Family Man,"35,18,10749,14",2000,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves.",/zsedbiD7i2SepxIxb0F3U95mqyH.jpg
Carousel,27,2023,"Park manager Fiona is tasked with taking care of some former friends who won an exclusive private sneak preview of Halloween at Liseberg – a whole night, all alone in the empty park. But cotton candy, lovely rides and lots of laughter soon turn into something completely different, as they realize they are not alone in the park. And the night of dreams quickly turns into a true nightmare.",/u5KHv3BlYkcdonslD6s97ACGxpB.jpg
Dragon Ball GT: A Hero's Legacy,"12,28,16,878",1997,"Son Goku Jr. is the great-great-great-great-grandson of the legendary martial artist Son Goku. However, unlike his predecessor he's not a brave fighter. He's constantly picked on by school bullies, his grandmother Pan sees this and she's worried, but even though Goku Jr. is not a strong and powerful Saiyan, he has a kind heart, and Pan loves him. When Pan gets sick Goku Jr. realizes he must do something if he doesn't want to lose Pan. Then he will remember about the legends of the Dragon Balls. It was told they granted a wish to the bearer, Goku Jr. needs a magical wish more than ever.",/vjqcrp7nQGUVkVWeJR3HUAj0AyR.jpg
Robots,"16,35,10751,878",2005,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",/fnKCh67l2DDG9NxxIlk9IpsXQ99.jpg
The Magnificent Seven,"37,28",1960,An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.,/e5ToxOyJwuZD4VOfI0qEn5uIjeJ.jpg
47 Ronin,"18,28,14",2013,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",/xDHnmcroujCRG0ysYQaiswjbyHd.jpg
Memories of Murder,"80,18,53",2003,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",/lp3Qzzq1zzy6ToJul9DGBBd8ua1.jpg
The Outlaws,"28,80,53",2017,"In Chinatown, law and order is turned upside down when a trio of feral Chinese gangsters arrive, start terrorizing civilians, and usurping territory. The beleaguered local gangsters team up with the police, lead by the badass loose cannon Ma Seok-do, to bring them down. Based on a true story.",/pUd1FYQb5r55RqXpx08dnCbP1fs.jpg
Predestination,"878,53",2014,"Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.",/38Xr1JnV1ZcLQ55zmdSp6n475cZ.jpg
The Last Boy Scout,"28,53",1991,"When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.",/fNkLz6ITQqTDZHBXqiCrm4kaJKJ.jpg
21 Jump Street,"28,35,80",2012,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg
The Good Lie,18,2014,"A young refugee of the Sudanese Civil War who wins a lottery for relocation to the United States with three other lost boys. Encountering the modern world for the first time, they develop an unlikely friendship with a brash American woman assigned to help them, but the young man struggles to adjust to this new life and his feelings of guilt about the brother he left behind.",/yAhoeIwwtPxJ7uf9HLIMHIqWFnL.jpg
A Million Ways to Die in the West,"35,37",2014,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",/n9SicwnoNGWBwE75le27sUhCLMm.jpg
Saw VI,"27,53",2009,"Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood.",/cT7ufx1x6OKoi3bpUCWf2eV446G.jpg
Godzilla,"53,27,878",1954,"Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Yemani soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.",/ixfHV61iRM4Jkgw0uI5ICtNwfmX.jpg
A Knight's Tale,"12,18,10749,28",2001,"William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.",/srb1XnrlDZHcdpjBKqUu4qAzxKU.jpg
The Hills Have Eyes,"27,53",2006,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",/53x6ZGyYLgYwa5VQRdSqvVYwrl9.jpg
Melissa P.,18,2005,"An adolescent girl, living with her mother and her grandmother, will have her first sexual experiences in a heavy and excessive way.",/Cz7ZbqtgUiqKwcmZrkIpHMt8aU.jpg
Caligula,"18,36",1979,"The perversion behind imperial Rome, the epic story of Rome's mad Emporer. All the details of his cruel, bizarre reign are revealed right here: His unholy sexual passion for his sister, his marriage to Rome's most infamous prostitute, his fiendishly inventive means of disposing those who would oppose him, and more.",/4N4l873TVreuaR4FVpvaL2gfQ0N.jpg
One Hundred and One Dalmatians,"12,16,35,10751",1961,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.
 In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",/mRY84MJeWKnp9joev82QtslJFvk.jpg
Apollo 13,"18,36",1995,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",/kzj95o9FlVxKziQq36mjES3wxel.jpg
Ballerina,"28,12,53",2023,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.",/oE7xtGDqZnr7tFHfwb8oM9iRW6H.jpg
The Exorcist III,"27,9648",1990,"On the fifteenth anniversary of the exorcism that claimed Father Damien Karras' life, Police Lieutenant Kinderman's world is once again shattered when a boy is found decapitated and savagely crucified.",/bl6nSPcyqz6xD2Igd2VQvz8qWo0.jpg
Forbidden Zone,"10402,35,14",1980,"A mysterious door in the basement of the Hercules house leads to the Sixth Dimension by way of a gigantic set of intestine. When Frenchy slips through the door, King Fausto falls in love with her. The jealous Queen Doris takes Frenchy prisoner, and it is up to the Hercules family and friend Squeezit Henderson to rescue her.",/shBJRGNek5hkrCnKabcbxa4rWaH.jpg
HAIKYU!! The Dumpster Battle,"16,18",2024,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the ""Little Giant."" But, Hinata soon finds that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles turn into a surprising weapon, but can they beat their rival Nekoma High in the highly anticipated ""Dumpster Battle,"" the long awaited ultimate showdown between two opposing underdog teams?",/ntRU0OA4etGGiMMmH1Yw0bnaMdW.jpg
Malignant,27,2021,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",/dGv2BWjzwAz6LB8a8JeRIZL8hSz.jpg
The SpongeBob Movie: Sponge Out of Water,"10751,12,35,14,16",2015,"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.",/2WDmjUlSAPlA27i2OwEC7sRTFw3.jpg
Ju-on: The Grudge,27,2002,"When social worker Rika is sent to check on a traumatized old lady whose family have moved in at the site of the notorious Saeki family murder case, she unwittingly unleashes a cycle of terror that is transmitted via its victims further and further from its original source.",/oulszWeFpIBbbLZbkJNQiYRlcQs.jpg
The Misfits,"28,53",2021,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",/dPOyYnCkRbWAEem85N3VFpQODf5.jpg
Winnie the Pooh: Blood and Honey,27,2023,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",/wtFwgFFk1ze789ghcadWGEVjj3N.jpg
Bad Boys: Ride or Die,"28,53,80",2024,"After their late former Captain is framed,  Lowrey and Burnett try to clear his name, only to end up on the run themselves.",/nP6RliHjxsz4irTKsxe8FRhKZYl.jpg
Lone Survivor,"10752,28,18",2013,"Four Navy SEALs on a covert mission to neutralize a high-level Taliban operative must make an impossible moral decision in the mountains of Afghanistan that leads them into an enemy ambush. As they confront unthinkable odds, the SEALs must find reserves of strength and resilience to fight to the finish.",/zaBIrloyhGK7iNTZMb3f9SARsl8.jpg
Robin Hood: Prince of Thieves,"28,12,18",1991,"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.",/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg
Return to the Blue Lagoon,"12,18",1991,"In this sequel to the 1980 classic, two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become tanned teenagers in love.",/jhUTLuPgc3Qcvr5xtji8oiWSfYy.jpg
Fantastic Four,"28,12,878",2015,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",/oeMpEsjmiT9PEJbRM1Fm7TZ1dE0.jpg
Secret Headquarters,"28,12,35,878,10751",2022,"While hanging out after school, Charlie and his friends discover the headquarters of the world’s most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world.",/8PsHogUfvjWPGdWAI5uslDhHDx7.jpg
The Virgin Suicides,"18,10749",1999,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.",/1NCQtXPQnaHRjOZVmktA9BSM35F.jpg
Anna Karenina,"18,10749,36",2012,"In Imperial Russia, Anna, the wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets the charming cavalry officer Vronsky to whom she is immediately attracted. But in St. Petersburg’s high society, a relationship like this could destroy a woman’s reputation.",/2DvjkCbmlg8sbBHZKUZvYPgsT5V.jpg
Spy Kids,"28,35,10751,12",2001,"Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business.""",/44EKLFDthYONe4HAGZpGxEKeG8N.jpg
Escape Room,"27,53,9648",2019,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",/8Ls1tZ6qjGzfGHjBB7ihOnf7f0b.jpg
The Sorcerer's Apprentice,"14,12,28",2010,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",/b5pIUsGll0418NyfNA5eYCI9aoK.jpg
28 Days Later,"27,53,878",2002,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",/sQckQRt17VaWbo39GIu0TMOiszq.jpg
Dragon Ball Super: Super Hero,"16,878,28",2022,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",/pi0iZOEHeA3ih4p1IwAG4x2DZNH.jpg
Night Hunter,"18,53",2019,A Minnesota police officer crosses paths with a committed and tireless vigilante as he follows the trail of a ruthless predator responsible for several abductions and murders.,/vVYU0x9FRpiJNX7c54ciFnRBVYG.jpg
The Killing,"80,53",1956,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.",/A6VzUPcADZGYdGHlVdWvpMNDF5d.jpg
Nun in Rope Hell,"18,27",1984,A woman gets caught by the wife of her lover which results in a stabbing. Feeling guilty she runs away and joins a nunnery. But she soon discovers that several nuns and a well known author have turned the place into their own personal S&M playground.,/2jqTCgA6A85RZwycVwwgEuYardv.jpg
Lemony Snicket's A Series of Unfortunate Events,"12,35,10751",2004,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.",/r7S57FpBsCljWc9fBUo2Iy5XGew.jpg
Sniper,"28,18,53",1993,Tough guy Thomas Beckett is an US soldier working in the Panamanian jungle. His job is to seek out rebels and remove them using his sniper skills. Beckett is notorious for losing his partners on such missions. This time he's accompanied by crack marksman Richard Miller.,/1eBpboJWZV1Lee0VFDWv59EdWA6.jpg
Click,"35,18,14",2006,"A married workaholic, Michael Newman doesn't have time for his wife and children, not if he's to impress his ungrateful boss and earn a well-deserved promotion. So when he meets Morty, a loopy sales clerk, he gets the answer to his prayers: a magical remote that allows him to bypass life's little distractions with increasingly hysterical results.",/oL0k5JA53PyoHSZqKb3cNkhwBCE.jpg
Mirage,"53,18,9648,14",2018,"During a mysterious thunderstorm, Vera, a young mother, manages to save a life in danger, but her good deed causes a disturbing chain of unexpected consequences.",/2sAXXSgzpt5eJtuh4IeE7rJWES4.jpg
The Man from U.N.C.L.E.,"35,28,12",2015,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",/y5yZaForGSJbPD66Cvq9AT5WMAD.jpg
Zandalee,"18,10749,53",1991,"Bored with her marriage to burnt out poet turned corporate executive Thierry, Zandalee falls prey to an old friend of her husband, the manipulative and egotistical Johnny and becomes enmeshed in a sensual, passionate and destructive affair.",/sW7nX30z07kmmstuI9S9s5ZSSAb.jpg
The Huntsman: Winter's War,"28,12,18",2016,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",/cjAGYsTPmmhZOwzrgon0Drpu43K.jpg
The Ring,"27,9648",2002,Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.,/gghD2ZIPjMzLnnBuT3AZQGYnIW9.jpg
Enemy at the Gates,"18,10752,36,10749",2001,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad in WWII.,/9cSoNnB31hGY2mL78VT8mAbz6nR.jpg
Rush Hour 2,"28,35,80",2001,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",/aBQf2vMiCINeVC9v6BGVYKXurTh.jpg
Sleepy Hollow,"18,14,53,9648,27",1999,"Ichabod Crane, an eccentric investigator, is determined to stop the murderous Headless Horseman.",/uZNxJW7ygEHizeHOp7Nw9ysf4QJ.jpg
Commando,"28,12,53",1985,"John Matrix, the former leader of a special commando strike force that always got the toughest jobs done, is forced back into action when his young daughter is kidnapped. To find her, Matrix has to fight his way through an array of punks, killers, one of his former commandos, and a fully equipped private army. With the help of a feisty stewardess and an old friend, Matrix has only a few hours to overcome his greatest challenge: finding his daughter before she's killed.",/ollPAAAgZ7euU8VisfqU3cuXhZ6.jpg
White Boy Rick,"80,18",2018,"The story of Richard Wershe Jr., a teenager who became an undercover informant for the police during the 1980s, and was ultimately arrested for drug trafficking and sentenced to life in prison.",/xjW2wgrC2ey0APDELP6NMD8tAq7.jpg
The Family,"80,35,28",2013,"The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the witness protection program, where fitting in soon becomes challenging as their old habits die hard.",/3ER4u7T951pMv60hL5bUN6WsAMV.jpg
