movie_id,title,genre_id,age_release,description,image_url
823464,Godzilla x Kong: The New Empire,"28,878,12",2024,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",/tMefBSflR6PGQLv7WvFPpKLZkyk.jpg
1094844,Ape vs. Mecha Ape,"28,878",2023,"Recognizing the destructive power of its captive giant Ape, the military makes its own battle-ready A.I., Mecha Ape. But its first practical test goes horribly wrong, leaving the military no choice but to release the imprisoned giant ape to stop the colossal robot before it destroys downtown Chicago.",/dJaIw8OgACelojyV6YuVsOhtTLO.jpg
693134,Dune: Part Two,"878,12",2024,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg
1096197,No Way Up,"28,27,53",2024,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg
1011985,Kung Fu Panda 4,"16,28,10751,35,14",2024,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg
934632,Rebel Moon - Part Two: The Scargiver,"878,28,18",2024,"The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.",/cxevDYdeFkiixRShbObdwAHBZry.jpg
940721,Godzilla Minus One,"878,27,28",2023,"Postwar Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg
748783,The Garfield Movie,"16,35,10751",2024,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",/zK2sFxZcelHJRPVr242rxy5VK4T.jpg
1041613,Immaculate,"27,9648,53",2024,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",/fdZpvODTX5wwkD0ikZNaClE4AoW.jpg
821937,578: Magnum,"28,53",2022,"A container truck driver, Hùng, lives an idyllic life with his little daughter, An. The father and daughter become the closest companions in every journey with their orange container truck. Life goes on like that until An has to leave her father to go to school. One day, Hùng is informed that An is suffering from severe depression. Relying on his old skills in the past and finding out the truth, Hùng becomes enraged and painful to know that his little girl was kidnapped by a male stranger. Starting his lone and intense journey looking for and chasing after the unknown abuser, Hùng realizes that to hunt down that psychopath he has to counter the massive underground forces behind him.",/8Nw5v7wPfa2FwbKyx61K2nIBcKa.jpg
845111,The Three Musketeers: Milady,"12,28,18",2023,"D'Artagnan, on a quest to rescue the abducted Constance, runs into the mysterious Milady de Winter again. The tension between the Catholics and the Protestants finally escalates, as the king declares war — forcing the now four musketeers into battle. But as the war goes on, they are tested physically, mentally and emotionally.",/rtosxP5sXuoRFPH4sVbMccLIPiV.jpg
653346,Kingdom of the Planet of the Apes,"878,12,28",2024,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",/gKkl37BQuKTanygYQG1pyYgLVgf.jpg
1063879,Infested,27,2023,"Residents of a rundown French apartment building battle against an army of deadly, rapidly reproducing spiders.",/dY98PkUAbIGUUg0FhXEcOkbzHIZ.jpg
976906,Spitfire Over Berlin,"10752,28,36",2022,"August 1944. With the American Eighth Air Force poised to strike over Nazi Germany, British Intelligence learns that they could be flying into a deadly trap. With only hours to spare, Flight Lieutenant Edward Barnes must fly a life and death mission over Berlin in his unarmed Spitfire to obtain photographic evidence and save the lives of 1200 men.",/xtPPOPTad1qopK6uDe3VlYUa22o.jpg
618588,Arthur the King,"18,12",2024,"Over the course of ten days and 435 miles, an unbreakable bond is forged between pro adventure racer Michael Light and a scrappy street dog companion dubbed Arthur. As the team is pushed to their outer limits of endurance in the race, Arthur redefines what victory, loyalty and friendship truly mean.",/gxVcBc4VM0kAg9wX4HVg6KJHG46.jpg
634492,Madame Web,"28,14",2024,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg
359410,Road House,"28,53",2024,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",/bXi6IQiQDHD00JFio5ZSZOeRSBh.jpg
872585,Oppenheimer,"18,36",2023,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
940551,Migration,"16,28,12,35,10751",2023,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",/ldfCF9RhR40mppkzmftxapaHeTo.jpg
784651,Fighter,"28,53,10752",2024,"Top IAF aviators come together in the face of imminent danger, to form Air Dragons. Fighter unfolds their camaraderie, brotherhood and battles, internal and external.",/zDZowwb9GZGEctAu2PCpjiPQAMM.jpg
948549,Love Lies Bleeding,"80,10749,53",2024,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",/p7jyFWiLyHPttqYBFAlLJwtYTYH.jpg
601796,Alienoid,"878,28,14,12",2022,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg
1105407,Damaged,"28,80,53",2024,"A Chicago detective travels to Scotland after an emerging serial killer’s crimes match those that he investigated five years earlier, one of which was the crime scene of his murdered girlfriend.",/eacWm6jPrjkpqhi4VzwqYeJWL6k.jpg
865921,Return of Special Forces 5,28,2021,"After Long Wei and his men finished their operation in Fuji, they received a distress message from his ex-wife, Leng Yun. Long Wei immediately rushes to Southeast Asia alone to look for his ex-wife. With his excellent ability to fight alone, Long Wei and his daughter break through all the dangers they encounter one by one, will they be able to rescue his ex-wife successfully?",/i28T4z3JxRf6xwuunXAedTxkNDX.jpg
929590,Civil War,"10752,28,18",2024,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg
1209288,Justice League: Crisis on Infinite Earths Part Two,"16,878,28",2024,"An endless army of shadow demons bent on the destruction of all reality swarms over our world and all parallel Earths! The only thing opposing them is the mightiest team of metahumans ever assembled. But not even the combined power of Superman, Batman, Wonder Woman, Green Lantern and all their fellow superheroes can slow down the onslaught of this invincible horde. What mysterious force is driving them? And how do the long-buried secrets of the Monitor and Supergirl threaten to crush our last defense?",/g8ak4QAGLZpqMs3CpnFHWWfIzJQ.jpg
438631,Dune,"878,12",2021,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",/d5NXSklXo0qyIYkgV94XAgMIckC.jpg
385687,Fast X,"28,80,53",2023,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",/fiVW06jE7z9YnO4trhaMEdclSiC.jpg
720321,Breathe,"878,9648,53",2024,"Air-supply is scarce in the near future, forcing a mother and daughter to fight for survival when two strangers arrive desperate for an oxygenated haven.",/wTW2t8ocWDlHns8I7vQxuqkyK58.jpg
1216299,The Night They Came Home,"37,53,28",2024,"The combined force of local lawmen and Indian police aim to take down the the Rufus Buck Gang, a cold-heated band of fugitives with vengeance on their minds.",/6Bd17axAG0qJ6YIU3SoootXV0Cz.jpg
